name1,name2,is_match
Kavita Mishra,Shreya Agarval,0
Kavita Mishra,Varun Yadav,0
Kavia Mtishra,Kavita Mishra,1
Kavia Mtishra,Kaavita Meeshra,1
Kavia Mtishra,Varun Shah,0
Kavia Mtishra,Kaveeta Choudhaary,0
Kaavita Meeshra,Kavita Mishra,1
Kaavita Meeshra,Kavia Mtishra,1
Kaavita Meeshra,Aaarav Misra,0
Kaavita Meeshra,Aarab Choudhhary,0
Deepak Gupta,Deepak Guptha,1
Deepak Gupta,Sjresh Patewl,0
Deepak Gupta,Shreya Joshi,0
Deepak Guptha,Deepak Gupta,1
Deepak Guptha,Raahul Shaarma,0
Deepak Guptha,Arjun Mehta,0
Deepak Joshi,Ishaan Shah,0
Deepak Joshi,Amit Mishrya,0
Sanjay Trivedi,Saanjay Triwedi,1
Sanjay Trivedi,Sanjya Trivdi,1
Sanjay Trivedi,Sanjay Trivedi,1
Sanjay Trivedi,Sanjay Chauhann,0
Sanjay Trivedi,Amit Agaarwal,0
Saanjay Triwedi,Sanjay Trivedi,1
Saanjay Triwedi,Sanjya Trivdi,1
Saanjay Triwedi,Sanjay Trivedi,1
Saanjay Triwedi,Sanjcy Pate,0
Saanjay Triwedi,Suresh Kumar,0
Sanjya Trivdi,Sanjay Trivedi,1
Sanjya Trivdi,Saanjay Triwedi,1
Sanjya Trivdi,Sanjay Trivedi,1
Sanjya Trivdi,Dipak Chaauhan,0
Sanjya Trivdi,Pooja Joshli,0
Sanjay Trivedi,Sanjay Trivedi,1
Sanjay Trivedi,Saanjay Triwedi,1
Sanjay Trivedi,Sanjya Trivdi,1
Sanjay Trivedi,Suresh Mehta,0
Sanjay Trivedi,Krishhna Chauhann,0
Pooja Chauhan,Poioja Chauahn,1
Pooja Chauhan,Pooja Chauhann,1
Pooja Chauhan,Lakshhmi Choudhhary,0
Pooja Chauhan,Adity Shhrma,0
Poioja Chauahn,Pooja Chauhan,1
Poioja Chauahn,Pooja Chauhann,1
Poioja Chauahn,Isaan Paatel,0
Poioja Chauahn,Vikram Gupta,0
Pooja Chauhann,Pooja Chauhan,1
Pooja Chauhann,Poioja Chauahn,1
Pooja Chauhann,Dipak Agaarwal,0
Pooja Chauhann,Lakshmi Choudhary,0
Rahul Joshi,Rahpl Josih,1
Rahul Joshi,Poojaa Treevedi,0
Rahul Joshi,Neha Mehta,0
Rahpl Josih,Rahul Joshi,1
Rahpl Josih,Aarav Patel,0
Rahpl Josih,Deepaak Triwedi,0
Manish Patel,Mannish Pathel,1
Manish Patel,Lakshmi Mehta,0
Manish Patel,Suresh Patel,0
Mannish Pathel,Manish Patel,1
Mannish Pathel,Lakshmi Agarwal,0
Mannish Pathel,Divya Singh,0
Krishna Patel,Shrey Patyel,0
Krishna Patel,Shreya Singh,0
Arjun Agarwal,Arjunn Agarval,1
Arjun Agarwal,Neha Mishra,0
Arjun Agarwal,Vikramm Guptha,0
Arjunn Agarval,Arjun Agarwal,1
Arjunn Agarval,Ishaan Gupta,0
Arjunn Agarval,Aditya Chauhan,0
Varun Patel,Varufn Patle,1
Varun Patel,Varuv Patle,1
Varun Patel,Vaarun Paatel,1
Varun Patel,Divya Shah,0
Varun Patel,Rahul Yadhav,0
Varufn Patle,Varun Patel,1
Varufn Patle,Varuv Patle,1
Varufn Patle,Vaarun Paatel,1
Varufn Patle,Deepak Guptha,0
Varufn Patle,Ammit Shah,0
Varuv Patle,Varun Patel,1
Varuv Patle,Varufn Patle,1
Varuv Patle,Vaarun Paatel,1
Varuv Patle,Shreya Guptha,0
Varuv Patle,Lakshmi Sharma,0
Vaarun Paatel,Varun Patel,1
Vaarun Paatel,Varufn Patle,1
Vaarun Paatel,Varuv Patle,1
Vaarun Paatel,Aditya Sharma,0
Vaarun Paatel,Aarcv Kmuar,0
Manish Patel,Manitsh Pavel,1
Manish Patel,Mannish Pathel,1
Manish Patel,Manis Paatel,1
Manish Patel,Aditya Joshi,0
Manish Patel,Vikram Choudhary,0
Manitsh Pavel,Manish Patel,1
Manitsh Pavel,Mannish Pathel,1
Manitsh Pavel,Manis Paatel,1
Manitsh Pavel,Shreya Gupta,0
Manitsh Pavel,Isaan Mehtaa,0
Mannish Pathel,Manish Patel,1
Mannish Pathel,Manitsh Pavel,1
Mannish Pathel,Manis Paatel,1
Mannish Pathel,Gaurab Mishra,0
Mannish Pathel,Adityaa Mehtaa,0
Manis Paatel,Manish Patel,1
Manis Paatel,Manitsh Pavel,1
Manis Paatel,Mannish Pathel,1
Manis Paatel,Deepak Guptha,0
Manis Paatel,Yas Kuumar,0
Aarav Singh,Aaraw Seengh,1
Aarav Singh,Aarva Signh,1
Aarav Singh,Aaarav Seengh,1
Aarav Singh,Varun Seengh,0
Aarav Singh,Araav Patez,0
Aaraw Seengh,Aarav Singh,1
Aaraw Seengh,Aarva Signh,1
Aaraw Seengh,Aaarav Seengh,1
Aaraw Seengh,Poocja Kuma,0
Aaraw Seengh,Arjun Verma,0
Aarva Signh,Aarav Singh,1
Aarva Signh,Aaraw Seengh,1
Aarva Signh,Aaarav Seengh,1
Aarva Signh,Suresh Sharma,0
Aarva Signh,Gaoorav Mishraa,0
Aaarav Seengh,Aarav Singh,1
Aaarav Seengh,Aaraw Seengh,1
Aaarav Seengh,Aarva Signh,1
Aaarav Seengh,Gaaurav Josi,0
Aaarav Seengh,Krishna Kumar,0
Aditya Singh,Gaurav Mishra,1
Aditya Singh,Gaurab Mishra,1
Aditya Singh,Gaoorav Meeshra,1
Aditya Singh,Yas Shah,0
Aditya Singh,Veekram Choudhaary,0
Lakshmi Mishra,Lakshmmi Mishra,1
Lakshmi Mishra,Laksmi Mishar,1
Lakshmi Mishra,Lakshmmi Mishra,1
Lakshmi Mishra,Ananya Singh,0
Lakshmi Mishra,Krishnna Chauhann,0
Lakshmmi Mishra,Lakshmi Mishra,1
Lakshmmi Mishra,Laksmi Mishar,1
Lakshmmi Mishra,Lakshmmi Mishra,1
Lakshmmi Mishra,Ishaagn Choudnhary,0
Lakshmmi Mishra,Manish Yadav,0
Laksmi Mishar,Lakshmi Mishra,1
Laksmi Mishar,Lakshmmi Mishra,1
Laksmi Mishar,Lakshmmi Mishra,1
Laksmi Mishar,Laksmi Shaah,0
Laksmi Mishar,Yash Verma,0
Lakshmmi Mishra,Lakshmi Mishra,1
Lakshmmi Mishra,Lakshmmi Mishra,1
Lakshmmi Mishra,Laksmi Mishar,1
Lakshmmi Mishra,Aditya Kumar,0
Lakshmmi Mishra,Ananya Verma,0
Divya Yadav,Diyva Yadv,1
Divya Yadav,Dibya Yadhav,1
Divya Yadav,Aditya Joshi,0
Divya Yadav,Vikmram Charuhan,0
Diyva Yadv,Divya Yadav,1
Diyva Yadv,Dibya Yadhav,1
Diyva Yadv,Amit Mishraa,0
Diyva Yadv,Aara Vorma,0
Dibya Yadhav,Divya Yadav,1
Dibya Yadhav,Diyva Yadv,1
Dibya Yadhav,Ygsh Yuadav,0
Dibya Yadhav,Diwya Sharma,0
Sanjay Patel,Saanjay Paatel,1
Sanjay Patel,Saanjay Paatel,1
Sanjay Patel,Sanjcy Pate,1
Sanjay Patel,Amit Singh,0
Sanjay Patel,Vikram Agarwal,0
Saanjay Paatel,Sanjay Patel,1
Saanjay Paatel,Saanjay Paatel,1
Saanjay Paatel,Sanjcy Pate,1
Saanjay Paatel,Adityaa Kumaar,0
Saanjay Paatel,Arjun Sharma,0
Saanjay Paatel,Sanjay Patel,1
Saanjay Paatel,Saanjay Paatel,1
Saanjay Paatel,Sanjcy Pate,1
Saanjay Paatel,Varun Mishra,0
Saanjay Paatel,Varun Joshi,0
Sanjcy Pate,Sanjay Patel,1
Sanjcy Pate,Saanjay Paatel,1
Sanjcy Pate,Saanjay Paatel,1
Sanjcy Pate,Ajun Tirvedi,0
Sanjcy Pate,Sreya Kumgar,0
Rahul Agarwal,Rahool Agaarwal,1
Rahul Agarwal,Shreya Patel,0
Rahul Agarwal,Sures Kumaar,0
Rahool Agaarwal,Rahul Agarwal,1
Rahool Agaarwal,Agrav Cohudhary,0
Rahool Agaarwal,Kavita Joshi,0
Ishaan Yadav,Ishhaan Yadab,1
Ishaan Yadav,Ishaa Yadnv,1
Ishaan Yadav,Yashh Sharma,0
Ishaan Yadav,Divya Mehta,0
Ishhaan Yadab,Ishaan Yadav,1
Ishhaan Yadab,Ishaa Yadnv,1
Ishhaan Yadab,Ananya Gupta,0
Ishhaan Yadab,Krishnna Mishhra,0
Ishaa Yadnv,Ishaan Yadav,1
Ishaa Yadnv,Ishhaan Yadab,1
Ishaa Yadnv,Aaitya Guptm,0
Ishaa Yadnv,Rabi Kummar,0
Divya Joshi,Divya Joshhi,1
Divya Joshi,Kavitha Verma,0
Divya Joshi,Gaurab Mishhra,0
Divya Joshhi,Divya Joshi,1
Divya Joshhi,Yashh Yadab,0
Divya Joshhi,Varun Shah,0
Neha Joshi,Mannish Pathel,0
Neha Joshi,Lakshhmi Shah,0
Manish Kumar,Manlish Kumear,1
Manish Kumar,Rawi Meeshra,0
Manish Kumar,Rahsl Patepl,0
Manlish Kumear,Manish Kumar,1
Manlish Kumear,Sanjay Gupta,0
Manlish Kumear,Kaavita Chooodhary,0
Yash Singh,Yas Seengh,1
Yash Singh,Yaash Seengh,1
Yash Singh,Yaash Seengh,1
Yash Singh,Lakshmmi Mishra,0
Yash Singh,Ammit Sharmma,0
Yas Seengh,Yash Singh,1
Yas Seengh,Yaash Seengh,1
Yas Seengh,Yaash Seengh,1
Yas Seengh,Gaurab Mehta,0
Yas Seengh,Yasyh Triedi,0
Yaash Seengh,Yash Singh,1
Yaash Seengh,Yas Seengh,1
Yaash Seengh,Yaash Seengh,1
Yaash Seengh,Sanjay Mishra,0
Yaash Seengh,Ananya Mehta,0
Yaash Seengh,Yash Singh,1
Yaash Seengh,Yas Seengh,1
Yaash Seengh,Yaash Seengh,1
Yaash Seengh,Ishaan Shah,0
Yaash Seengh,Kgrishna Kufmar,0
Neha Patel,Nehaa Paatel,1
Neha Patel,Nehaa Goopta,0
Neha Patel,Rahul Gupta,0
Nehaa Paatel,Neha Patel,1
Nehaa Paatel,Yash Shah,0
Nehaa Paatel,Kavita Choudhary,0
Divya Patel,Kaavita Josi,0
Divya Patel,Puja Josi,0
Pooja Yadav,Poojaa Yadaw,1
Pooja Yadav,Puja Yadaw,1
Pooja Yadav,Sanay Meht,0
Pooja Yadav,Aditya Yadav,0
Poojaa Yadaw,Pooja Yadav,1
Poojaa Yadaw,Puja Yadaw,1
Poojaa Yadaw,Sanjay Gupta,0
Poojaa Yadaw,Poojaa Guptaa,0
Puja Yadaw,Pooja Yadav,1
Puja Yadaw,Poojaa Yadaw,1
Puja Yadaw,Sannjay Trivedhi,0
Puja Yadaw,Suresh Choudhary,0
Ravi Gupta,Ravv Guupta,1
Ravi Gupta,Rabi Guptha,1
Ravi Gupta,Arjunn Yadab,0
Ravi Gupta,Yas Kuumar,0
Ravv Guupta,Ravi Gupta,1
Ravv Guupta,Rabi Guptha,1
Ravv Guupta,Arjun Gupta,0
Ravv Guupta,Ananya Gupta,0
Rabi Guptha,Ravi Gupta,1
Rabi Guptha,Ravv Guupta,1
Rabi Guptha,Shreya Singh,0
Rabi Guptha,Krishna Verma,0
Shreya Gupta,Ishaan Trivedi,0
Shreya Gupta,Sanjay Patel,0
Deepak Kumar,Deepak Kummar,1
Deepak Kumar,Deepaak Kumaar,1
Deepak Kumar,Dipak Koomar,1
Deepak Kumar,Lakshmi Choudhary,0
Deepak Kumar,Divyaa Shaah,0
Deepak Kummar,Deepak Kumar,1
Deepak Kummar,Deepaak Kumaar,1
Deepak Kummar,Dipak Koomar,1
Deepak Kummar,Manish Gupta,0
Deepak Kummar,Rnavi Meehta,0
Deepaak Kumaar,Deepak Kumar,1
Deepaak Kumaar,Deepak Kummar,1
Deepaak Kumaar,Dipak Koomar,1
Deepaak Kumaar,Poojaa Koomar,0
Deepaak Kumaar,Yas Paatel,0
Dipak Koomar,Deepak Kumar,1
Dipak Koomar,Deepak Kummar,1
Dipak Koomar,Deepaak Kumaar,1
Dipak Koomar,Shreya Sharma,0
Dipak Koomar,Aditya Choudhary,0
Amit Mehta,Alit Mehtba,1
Amit Mehta,Ameet Mehtaa,1
Amit Mehta,Pooja Verma,0
Amit Mehta,Annanya Choudhhary,0
Alit Mehtba,Amit Mehta,1
Alit Mehtba,Ameet Mehtaa,1
Alit Mehtba,Suresh Patel,0
Alit Mehtba,Annanya Verma,0
Ameet Mehtaa,Amit Mehta,1
Ameet Mehtaa,Alit Mehtba,1
Ameet Mehtaa,Lakshmmi Chauhann,0
Ameet Mehtaa,Varun Choudhaary,0
Amit Yadav,Amit Trivedi,0
Amit Yadav,Ishjan Skah,0
Krishna Singh,Kridshna Sringh,1
Krishna Singh,Krishhna Singh,1
Krishna Singh,Deepak Mishra,0
Krishna Singh,Dipak Agaarwal,0
Kridshna Sringh,Krishna Singh,1
Kridshna Sringh,Krishhna Singh,1
Kridshna Sringh,Gauraw Paatel,0
Kridshna Sringh,Neha Yadav,0
Krishhna Singh,Krishna Singh,1
Krishhna Singh,Kridshna Sringh,1
Krishhna Singh,Divya Kumar,0
Krishhna Singh,Dipak Agaarwal,0
Krishna Agarwal,Gaurav Chauhan,0
Krishna Agarwal,Yashh Sharma,0
Manish Kumar,Maanish Kumaar,1
Manish Kumar,Manis Kumra,1
Manish Kumar,Annya Svarma,0
Manish Kumar,Krishna Kumar,0
Maanish Kumaar,Manish Kumar,1
Maanish Kumaar,Manis Kumra,1
Maanish Kumaar,Neah Gupat,0
Maanish Kumaar,Shreya Josi,0
Manis Kumra,Manish Kumar,1
Manis Kumra,Maanish Kumaar,1
Manis Kumra,Amit Gupta,0
Manis Kumra,Gaurv Jodhi,0
Neha Joshi,Nxeha Joshi,1
Neha Joshi,Kaveeta Choudhaary,0
Neha Joshi,Ntha Choudahry,0
Nxeha Joshi,Neha Joshi,1
Nxeha Joshi,Arjun Mehtaa,0
Nxeha Joshi,Lakshmmi Chauhann,0
Vikram Joshi,Ishaaan Misra,0
Vikram Joshi,Suresh Verma,0
Ananya Joshi,Annanya Joshhi,1
Ananya Joshi,Annanya Joshhi,1
Ananya Joshi,Lakshmmi Agarval,0
Ananya Joshi,Lakshmi Agarwal,0
Annanya Joshhi,Ananya Joshi,1
Annanya Joshhi,Annanya Joshhi,1
Annanya Joshhi,Kavitha Sharmma,0
Annanya Joshhi,Lakshmi Kumar,0
Annanya Joshhi,Ananya Joshi,1
Annanya Joshhi,Annanya Joshhi,1
Annanya Joshhi,Krishhna Chauhann,0
Annanya Joshhi,Kavita Verma,0
Sanjay Trivedi,Sannjay Trivedhi,1
Sanjay Trivedi,Manish Chauhan,0
Sanjay Trivedi,Yash Sharma,0
Sannjay Trivedhi,Sanjay Trivedi,1
Sannjay Trivedhi,Amith Agarval,0
Sannjay Trivedhi,Vyrun Choudahry,0
Arjun Kumar,Arjen Kukar,1
Arjun Kumar,Arjunn Kummar,1
Arjun Kumar,Arjoon Koomar,1
Arjun Kumar,Krishna Patel,0
Arjun Kumar,Amit Shaah,0
Arjen Kukar,Arjun Kumar,1
Arjen Kukar,Arjunn Kummar,1
Arjen Kukar,Arjoon Koomar,1
Arjen Kukar,Neha Singh,0
Arjen Kukar,Yaash Joshee,0
Arjunn Kummar,Arjun Kumar,1
Arjunn Kummar,Arjen Kukar,1
Arjunn Kummar,Arjoon Koomar,1
Arjunn Kummar,Ishaann Pathel,0
Arjunn Kummar,Raavi Kumaar,0
Arjoon Koomar,Arjun Kumar,1
Arjoon Koomar,Arjen Kukar,1
Arjoon Koomar,Arjunn Kummar,1
Arjoon Koomar,Rahul Mehta,0
Arjoon Koomar,Varun Kumar,0
Kavita Verma,Kaavita Vermaa,1
Kavita Verma,Kaita Vermoa,1
Kavita Verma,Kbavita Vermm,1
Kavita Verma,Varuvn Shalh,0
Kavita Verma,Aditya Shah,0
Kaavita Vermaa,Kavita Verma,1
Kaavita Vermaa,Kaita Vermoa,1
Kaavita Vermaa,Kbavita Vermm,1
Kaavita Vermaa,Arjun Verma,0
Kaavita Vermaa,Varun Shah,0
Kaita Vermoa,Kavita Verma,1
Kaita Vermoa,Kaavita Vermaa,1
Kaita Vermoa,Kbavita Vermm,1
Kaita Vermoa,Ishaan Shah,0
Kaita Vermoa,Neha Mehta,0
Kbavita Vermm,Kavita Verma,1
Kbavita Vermm,Kaavita Vermaa,1
Kbavita Vermm,Kaita Vermoa,1
Kbavita Vermm,Guarav Mehka,0
Kbavita Vermm,Adhitya Pathel,0
Amit Agarwal,Amt Agarwl,1
Amit Agarwal,Amti Aagrwal,1
Amit Agarwal,Yash Joshi,0
Amit Agarwal,Suresh Verma,0
Amt Agarwl,Amit Agarwal,1
Amt Agarwl,Amti Aagrwal,1
Amt Agarwl,Sacjay Agarwag,0
Amt Agarwl,Dipak Agaarwal,0
Amti Aagrwal,Amit Agarwal,1
Amti Aagrwal,Amt Agarwl,1
Amti Aagrwal,Shreya Mishra,0
Amti Aagrwal,Krishhna Yadhav,0
Pooja Yadav,Puja Yaadav,1
Pooja Yadav,Pooja Yadab,1
Pooja Yadav,Anana Vepma,0
Pooja Yadav,Pooja Chauhan,0
Puja Yaadav,Pooja Yadav,1
Puja Yaadav,Pooja Yadab,1
Puja Yaadav,Yasv Trivcdi,0
Puja Yaadav,Pooja Kummar,0
Pooja Yadab,Pooja Yadav,1
Pooja Yadab,Puja Yaadav,1
Pooja Yadab,Amith Chauhann,0
Pooja Yadab,Anana Trovedi,0
Amit Joshi,Ameet Josi,1
Amit Joshi,Adithya Chauhann,0
Amit Joshi,Lakshhmi Agarval,0
Ameet Josi,Amit Joshi,1
Ameet Josi,Annanya Sharmma,0
Ameet Josi,Varun Vermaa,0
Varun Verma,Varoon Verma,1
Varun Verma,Vgarun Vera,1
Varun Verma,Kavita Mehta,0
Varun Verma,Kavita Mehta,0
Varoon Verma,Varun Verma,1
Varoon Verma,Vgarun Vera,1
Varoon Verma,Decpak Gupat,0
Varoon Verma,Shreya Singh,0
Vgarun Vera,Varun Verma,1
Vgarun Vera,Varoon Verma,1
Vgarun Vera,Lakshmi Shah,0
Vgarun Vera,Aditya Mehta,0
Ananya Verma,Aanya Vera,1
Ananya Verma,Annanya Verma,1
Ananya Verma,Aannya Verma,1
Ananya Verma,Yash Singh,0
Ananya Verma,Isohaan Triiedi,0
Aanya Vera,Ananya Verma,1
Aanya Vera,Annanya Verma,1
Aanya Vera,Aannya Verma,1
Aanya Vera,Sureshh Kummar,0
Aanya Vera,Shreyaa Agaarwal,0
Annanya Verma,Ananya Verma,1
Annanya Verma,Aanya Vera,1
Annanya Verma,Aannya Verma,1
Annanya Verma,Pooja Kumar,0
Annanya Verma,Ameet Chaauhan,0
Aannya Verma,Ananya Verma,1
Aannya Verma,Aanya Vera,1
Aannya Verma,Annanya Verma,1
Aannya Verma,Vuikram Singh,0
Aannya Verma,Raavi Yadaw,0
Arjun Verma,Arjoon Vermaa,1
Arjun Verma,Arjoon Vermaa,1
Arjun Verma,Arjun Vermaa,1
Arjun Verma,Kavitha Trivedhi,0
Arjun Verma,Deepak Trivedi,0
Arjoon Vermaa,Arjun Verma,1
Arjoon Vermaa,Arjoon Vermaa,1
Arjoon Vermaa,Arjun Vermaa,1
Arjoon Vermaa,Ymsh Patel,0
Arjoon Vermaa,Arjun Guptaa,0
Arjoon Vermaa,Arjun Verma,1
Arjoon Vermaa,Arjoon Vermaa,1
Arjoon Vermaa,Arjun Vermaa,1
Arjoon Vermaa,Kaveeta Choudhaary,0
Arjoon Vermaa,Aarav Kumar,0
Arjun Vermaa,Arjun Verma,1
Arjun Vermaa,Arjoon Vermaa,1
Arjun Vermaa,Arjoon Vermaa,1
Arjun Vermaa,Yash Kumar,0
Arjun Vermaa,Ishaan Gupta,0
Krishna Singh,Krishra Siggh,1
Krishna Singh,Krishnna Sinngh,1
Krishna Singh,Kreeshna Seengh,1
Krishna Singh,Deepaak Chaauhan,0
Krishna Singh,Sanjay Agarwal,0
Krishra Siggh,Krishna Singh,1
Krishra Siggh,Krishnna Sinngh,1
Krishra Siggh,Kreeshna Seengh,1
Krishra Siggh,Manlish Kumear,0
Krishra Siggh,Rahul Kumar,0
Krishnna Sinngh,Krishna Singh,1
Krishnna Sinngh,Krishra Siggh,1
Krishnna Sinngh,Kreeshna Seengh,1
Krishnna Sinngh,Aditya Sharma,0
Krishnna Sinngh,Krishnna Pathel,0
Kreeshna Seengh,Krishna Singh,1
Kreeshna Seengh,Krishra Siggh,1
Kreeshna Seengh,Krishnna Sinngh,1
Kreeshna Seengh,Aaarav Chooodhary,0
Kreeshna Seengh,Gaurav Sharma,0
Ananya Sharma,Anaanya Shaarma,1
Ananya Sharma,Anaanya Sharma,1
Ananya Sharma,Annanya Sharmma,1
Ananya Sharma,Ishaan Mishra,0
Ananya Sharma,Aditya Joshi,0
Anaanya Shaarma,Ananya Sharma,1
Anaanya Shaarma,Anaanya Sharma,1
Anaanya Shaarma,Annanya Sharmma,1
Anaanya Shaarma,Divya Yadav,0
Anaanya Shaarma,Guarav Mehka,0
Anaanya Sharma,Ananya Sharma,1
Anaanya Sharma,Anaanya Shaarma,1
Anaanya Sharma,Annanya Sharmma,1
Anaanya Sharma,Kavita Yadav,0
Anaanya Sharma,Rahool Goopta,0
Annanya Sharmma,Ananya Sharma,1
Annanya Sharmma,Anaanya Shaarma,1
Annanya Sharmma,Anaanya Sharma,1
Annanya Sharmma,Arjun Mehtaa,0
Annanya Sharmma,Ishaan Yadav,0
Pooja Joshi,Pooa Josh,1
Pooja Joshi,Poojda Josh,1
Pooja Joshi,Pooja Joshhi,1
Pooja Joshi,Krishhna Pathel,0
Pooja Joshi,Aarab Choudhhary,0
Pooa Josh,Pooja Joshi,1
Pooa Josh,Poojda Josh,1
Pooa Josh,Pooja Joshhi,1
Pooa Josh,Vikram Chauhan,0
Pooa Josh,Adeetya Josi,0
Poojda Josh,Pooja Joshi,1
Poojda Josh,Pooa Josh,1
Poojda Josh,Pooja Joshhi,1
Poojda Josh,Varun Agarval,0
Poojda Josh,Deepak Kummar,0
Pooja Joshhi,Pooja Joshi,1
Pooja Joshhi,Pooa Josh,1
Pooja Joshhi,Poojda Josh,1
Pooja Joshhi,Varunn Sinngh,0
Pooja Joshhi,Lakshmi Joshi,0
Aarav Verma,Aaarav Vermaa,1
Aarav Verma,Aarv Vrema,1
Aarav Verma,Aara Vegma,1
Aarav Verma,Gaurav Mishra,0
Aarav Verma,Aditya Verma,0
Aaarav Vermaa,Aarav Verma,1
Aaarav Vermaa,Aarv Vrema,1
Aaarav Vermaa,Aara Vegma,1
Aaarav Vermaa,Amit Sharma,0
Aaarav Vermaa,Varun Chauhan,0
Aarv Vrema,Aarav Verma,1
Aarv Vrema,Aaarav Vermaa,1
Aarv Vrema,Aara Vegma,1
Aarv Vrema,Aarav Choudhary,0
Aarv Vrema,Sanjay Kummar,0
Aara Vegma,Aarav Verma,1
